timestamps,TP9,AF7,AF8,TP10,Marker0
1.246,-54.688,-9.277,1.465,-51.270,0
1.250,-44.434,0.000,-4.395,-45.410,NaN
1.254,-39.062,-4.395,-0.977,-33.203,0
1.258,-36.133,5.371,-2.930,-29.297,NaN
1.261,-37.109,3.906,-12.207,-35.645,0
1.265,-35.156,3.906,-14.648,-36.133,0
1.269,-23.926,3.906,-13.672,-27.344,0
1.273,-18.066,7.324,-1.953,-22.949,NaN
1.277,-23.438,19.531,2.930,-10.254,0
1.281,-16.113,9.277,-3.418,-4.395,0
1.294,-11.230,0.977,-13.184,-10.254,0
1.298,-12.695,0.488,-8.301,-6.836,0
1.302,-12.207,2.930,0.000,-4.883,0
1.306,-22.949,11.230,-3.418,-6.836,NaN
1.310,-29.297,14.648,-5.371,-6.836,0
1.314,-13.672,13.672,-12.695,-0.977,0
1.317,-10.254,5.859,-30.273,-3.906,0
1.321,-17.090,-0.488,-14.160,-3.418,0
1.325,-14.648,1.465,14.648,4.395,0
1.329,-15.625,7.324,18.555,2.930,NaN
1.333,-16.113,6.836,16.602,3.906,NaN
1.337,-17.090,6.348,6.348,0.000,NaN
1.332,-28.809,10.254,-5.859,-3.906,0
1.336,-32.715,-2.930,-12.695,-9.277,0
1.340,-34.668,-14.648,-15.137,-12.207,0
1.344,-43.457,-9.277,-20.508,-17.578,NaN
1.348,-48.828,-6.836,-19.531,-25.391,0
1.352,-41.992,-2.441,-14.648,-24.902,0
1.355,-32.715,7.324,-10.742,-25.391,0
1.359,-36.133,10.742,-6.836,-27.832,0
1.363,-42.480,1.465,-6.348,-26.855,NaN
1.367,-47.852,-1.953,-1.953,-17.090,0
1.371,-55.664,-3.906,8.789,-12.695,0
1.375,-52.734,0.488,9.766,-23.438,NaN
1.370,-44.434,-6.348,-4.883,-22.461,NaN
1.374,-40.527,-13.184,-25.391,-14.648,NaN
1.378,-36.133,5.859,-31.250,-9.766,0
1.382,-35.645,14.648,-22.461,-6.348,0
1.386,-38.574,7.812,-10.254,-14.160,0
1.390,-43.945,0.488,4.395,-26.855,0
1.393,-52.246,2.441,0.000,-35.645,0
1.397,-48.340,3.906,0.000,-23.438,NaN
1.401,-48.828,-0.977,-11.230,-21.484,0
1.405,-52.734,-11.719,-27.344,-35.156,0
1.409,-47.363,-8.789,-20.996,-41.504,0
1.413,-42.969,0.488,-20.020,-43.457,0
1.425,-34.180,-1.465,-13.672,-40.039,0
1.429,-41.016,-1.465,-15.137,-48.828,0
1.433,-52.246,-13.184,-13.184,-45.898,0
1.437,-47.852,-11.230,-6.348,-41.016,NaN
1.441,-48.828,0.000,-3.906,-38.574,0
