timestamps,TP9,AF7,AF8,TP10,Marker0
1.048,-40.039,-24.902,-34.668,-22.949,0
1.052,-43.945,-49.316,-17.090,-29.785,0
1.056,-33.691,-56.152,-18.555,-22.461,0
1.060,-31.250,-32.227,-19.531,-18.555,NaN
1.064,-41.992,-41.992,-13.672,-28.320,0
1.065,-43.457,-44.434,-18.066,-28.320,NaN
1.069,-42.480,-25.391,-36.621,-23.438,0
1.073,-37.109,-19.043,-27.344,-21.484,0
1.077,-31.738,-8.301,-6.836,-20.996,0
1.081,-32.227,-12.207,-5.859,-20.508,0
1.085,-28.320,-26.855,-14.648,-16.602,NaN
1.088,-27.832,-36.133,-21.484,-18.555,0
1.092,-21.973,-40.039,-26.855,-19.531,0
1.096,-19.043,-34.668,-39.062,-19.531,0
1.100,-26.367,-29.785,-47.363,-20.508,0
1.104,-20.508,-21.973,-37.109,-17.578,NaN
1.108,-20.020,-23.926,-24.902,-19.043,0
1.125,-33.691,-23.926,-38.086,-24.414,0
1.129,-41.992,-21.973,-47.852,-24.414,0
1.133,-36.621,-9.766,-28.320,-20.020,NaN
1.137,-28.320,-3.906,-21.484,-21.973,0
1.141,-33.203,-33.691,-19.531,-28.809,0
1.145,-42.480,-66.406,-11.230,-41.992,0
1.148,-35.156,-43.945,-14.160,-47.363,0
1.152,-29.297,-8.301,-22.949,-48.340,NaN
1.156,-42.480,-6.348,-29.297,-52.734,0
1.160,-41.504,-24.414,-32.715,-43.945,0
1.164,-44.434,-31.738,-38.574,-45.898,0
1.168,-45.410,-19.043,-29.297,-46.875,NaN
1.170,-41.504,-24.902,-30.762,-46.387,0
1.174,-32.227,-35.156,-35.156,-44.434,0
1.178,-19.043,-28.320,-13.672,-31.250,NaN
1.182,-19.043,-13.672,-12.695,-32.227,0
1.186,-29.297,-20.508,-32.715,-38.086,0
1.190,-33.691,-32.227,-29.785,-39.062,NaN
1.193,-35.645,-38.086,-25.391,-45.410,0
1.197,-32.227,-39.062,-21.484,-42.480,0
1.201,-14.648,-28.809,-10.254,-20.508,0
1.205,-14.160,-36.621,-8.789,-15.625,0
1.209,-22.949,-31.738,-18.066,-34.180,0
1.213,-33.691,-16.602,-30.762,-45.410,NaN
1.215,-43.457,-29.297,-31.738,-41.992,0
1.219,-37.598,-39.062,-16.113,-32.715,0
1.223,-22.949,-25.879,-1.953,-24.902,NaN
1.227,-23.438,-32.227,-18.066,-24.414,0
1.231,-29.785,-45.410,-26.367,-21.484,0
1.235,-20.508,-51.758,-14.160,-14.648,0
1.238,-20.996,-45.410,-10.742,-14.160,0
1.242,-27.344,-16.113,-17.090,-18.555,0
1.246,-22.461,5.859,-15.625,-14.648,0
1.250,-26.367,-4.395,-8.301,-20.996,NaN
1.254,-45.410,-29.785,-24.902,-44.434,0
1.258,-47.363,-30.762,-33.691,-43.457,0
1.261,-33.691,-24.414,-26.855,-34.180,0
1.265,-31.738,-28.320,-22.949,-35.645,0
1.269,-29.297,-33.691,-18.066,-30.273,0
1.273,-30.273,-25.879,-22.461,-27.832,NaN
1.277,-41.992,-20.996,-32.715,-41.992,0
1.281,-38.086,-23.926,-25.879,-35.645,0
1.284,-34.668,-30.762,-11.230,-27.344,0
1.288,-55.664,-38.574,-12.207,-46.387,0
1.292,-63.477,-53.223,-13.672,-50.293,NaN
1.296,-63.965,-44.922,-28.809,-53.711,0
1.300,-57.617,-17.578,-32.227,-50.293,0
1.304,-52.734,-27.832,-31.250,-44.922,0
1.305,-60.547,-33.203,-30.762,-57.129,NaN
1.309,-53.223,-27.344,-18.555,-58.105,0
1.313,-43.945,-32.715,-12.207,-53.711,0
1.317,-30.762,-33.691,-20.508,-50.781,NaN
1.321,9.277,-22.461,-36.133,-19.043,0
1.325,-2.930,-25.879,-39.062,-14.160,0
1.328,-64.453,-44.434,-25.879,-46.875,NaN
1.332,-84.961,-46.875,-23.438,-62.500,0
1.336,-99.609,-42.969,-23.438,-81.055,0
1.340,-125.488,-57.129,-6.348,-101.074,NaN
1.344,-138.672,-77.148,-7.812,-103.516,0
1.348,-144.531,-80.078,-20.996,-118.164,NaN
1.350,-162.109,-76.660,-5.859,-139.160,0
1.354,-188.477,-69.336,7.812,-160.156,0
1.358,-215.820,-66.895,14.648,-182.617,0
1.362,-215.820,-65.430,16.113,-176.270,NaN
1.366,-210.938,-73.730,3.418,-169.434,0
1.370,-208.496,-91.797,-19.043,-164.062,0
1.373,-184.082,-91.797,-1.953,-142.578,0
1.377,-198.242,-92.285,34.180,-155.762,0
1.381,-200.684,-87.402,28.809,-163.086,NaN
1.385,-166.992,-68.359,27.832,-134.766,0
1.389,-154.297,-76.660,13.672,-124.023,0
1.393,-139.160,-94.238,2.441,-115.234,0
1.396,-104.492,-88.867,9.766,-83.496,NaN
1.400,-94.238,-92.773,-2.930,-71.777,0
1.404,-96.680,-75.195,-27.832,-69.824,0
1.408,-69.824,-37.109,-14.160,-47.852,0
1.412,-56.152,-43.945,15.137,-40.527,NaN
1.416,-60.547,-42.480,16.113,-40.527,0
1.419,-64.941,-45.410,5.371,-44.434,0
1.423,-76.172,-61.035,-12.207,-53.711,0
1.427,-68.359,-65.918,-21.973,-45.410,0
1.431,-57.129,-69.824,-16.113,-38.086,0
1.435,-56.641,-41.016,10.254,-38.086,NaN
1.439,-58.105,-27.344,16.113,-39.062,0
1.440,-51.270,-39.551,-14.160,-36.133,NaN
1.444,-35.156,-50.781,-23.438,-27.832,0
1.448,-23.926,-51.270,-5.859,-23.438,0
1.452,-28.809,-29.297,-18.555,-23.438,0
1.456,-30.273,-26.855,-29.785,-25.391,0
1.460,-37.598,-54.199,-20.508,-32.227,NaN
1.463,-43.945,-42.480,-3.906,-33.203,0
1.467,-45.410,-26.855,12.695,-38.574,0
1.471,-43.457,-43.457,1.465,-38.086,0
1.475,-34.668,-46.875,-16.602,-25.879,0
1.479,-21.973,-23.438,-33.203,-12.695,0
1.483,-7.324,-17.090,-34.668,-9.766,0
1.500,-10.742,-33.691,-26.367,-15.137,0
1.504,-30.273,-37.109,-9.277,-25.879,0
1.508,-26.855,-36.133,2.441,-22.461,NaN
1.512,-13.672,-29.785,-15.137,-0.977,0
1.516,-27.344,-27.832,-8.789,-12.207,0
1.520,-35.645,-26.367,1.953,-33.203,0
1.523,-40.527,-29.297,-20.508,-40.039,0
1.527,-42.480,-26.855,-12.207,-37.598,NaN
1.531,-36.621,-14.160,-7.324,-30.762,0
1.535,-28.320,-21.973,-34.180,-20.996,0
1.539,-18.555,-31.738,-23.926,-4.395,NaN
1.543,-25.391,-49.316,-7.812,-15.137,0
1.545,-6.348,-34.180,-27.344,-8.789,NaN
1.549,5.859,1.465,-25.391,6.836,0
1.553,-52.246,-22.461,-20.508,-35.156,0
1.557,-84.473,-32.715,-11.719,-68.848,0
1.561,-79.102,-7.812,-2.930,-76.172,0
1.565,-91.797,-17.578,-15.137,-85.938,NaN
1.568,-105.469,-45.410,-16.602,-95.703,0
1.572,-117.676,-58.105,-0.488,-107.422,0
1.576,-130.859,-67.871,-5.859,-110.840,0
1.580,-130.859,-53.223,-27.832,-106.934,0
1.584,-127.441,-29.785,-21.484,-109.375,NaN
1.588,-122.559,-30.273,-10.742,-104.980,0
1.590,-115.723,-39.062,-9.766,-96.680,0
1.594,-105.469,-61.035,-8.301,-83.984,0
1.598,-101.074,-53.711,-20.996,-71.289,NaN
1.602,-88.867,-19.531,-19.531,-64.941,0
1.606,-79.102,-25.879,-19.531,-54.199,0
1.610,-86.914,-53.223,-34.180,-63.477,0
1.613,-85.938,-40.039,-19.531,-66.895,0
1.617,-70.312,-23.926,0.977,-52.734,NaN
1.621,-61.523,-23.438,-0.977,-44.434,0
1.625,-61.523,-30.273,-19.043,-48.340,0
1.629,-62.012,-41.504,-29.297,-50.293,0
1.633,-49.805,-24.902,-26.367,-40.527,0
1.635,-41.016,-14.648,-26.855,-38.086,NaN
1.639,-30.273,-24.414,-23.926,-28.320,0
1.643,-24.902,-33.203,-26.367,-20.508,0
1.647,-31.250,-32.715,-29.785,-25.391,0
1.651,-24.902,-23.438,-8.301,-25.391,NaN
1.655,-18.066,-15.625,-0.977,-22.461,0
1.658,-18.555,-18.555,-14.160,-19.531,0
1.662,-24.414,-15.625,-26.367,-16.113,0
1.666,-29.297,-22.461,-42.969,-18.066,0
1.670,-25.391,-39.551,-30.273,-16.113,0
1.674,-22.461,-33.203,-10.254,-16.113,NaN
1.678,-28.809,-23.438,-22.461,-21.973,0
1.680,-38.574,-36.621,-23.438,-21.973,0
1.684,-38.086,-27.832,-0.488,-10.742,0
1.688,-38.574,-5.371,-7.812,-13.184,NaN
1.692,-34.180,-6.836,-24.414,-14.160,0
1.696,-20.996,-17.090,-28.809,-6.836,0
1.700,-16.113,-23.438,-41.504,-11.230,0
